NOUN,NOUN_LEMMA,DERIV_TYPE,GENDER,VERB,VERB_LEMMA,TYPE_ONTO,TYPE_REL,EXAMPLE_N,EXAMPLE_V,V_TRANS,V_DYN,V_DUR,V_TEL,V_POST_PHASE,V_ROL_SUBJ,V_ROL_OBJ,V_ROL_OBQ,N_DYN,N_DUR,N_TEL,N_POST_PHASE,N_ROL_ARG1,N_ROL_ARG2,N_ROL_ARG3,PLURALIA_TANTUM
capitulation_1,capitulation,ion,f,capituler_1,capituler,evt,tsp,"L'exposition au marché des professionnels de l'investissement est au plus bas, ce qui démontre qu'une capitulation a eu lieu ou est proche.",Les forces armées allemandes ont capitulé sans condition devant les Alliés le 7 mai 1945.,n,y,n,y,n,agt,na,na,y,n,y,n,agt,na,na,n
caponnerie_1,caponnerie,erie,f,caponner_1,caponner,evt,tsp,"Derrière cette caponnerie, il y a pour notre métier une dette de vertu.","Une affaire ne doit être connue que de ceux qui en sont, et, si tu caponnes, le mieux sera de tout laisser.",n,y,y,n,n,agt,na,na,y,y,n,n,agt,na,na,n
caponnerie_2,caponnerie,erie,f,caponner_1,caponner,ppt,cau,"Il faut donc, sans que Leroux s’y oppose, sans qu’il s’en doute même, et malgré la protection du patron, M. Meunier, près duquel sa caponnerie et sa... sa... sa féodalité le mettent en bonne odeur, il faut l’émincer de parmi nous.","Une affaire ne doit être connue que de ceux qui en sont, et, si tu caponnes, le mieux sera de tout laisser.",n,y,y,n,n,agt,na,na,n,na,na,na,pvt,na,na,n
caporalisation_1,caporalisation,ion,f,caporaliser_1,caporaliser,evt*sta,tsp,Ils ont dénoncé la caporalisation du pouvoir économique par le régime du président Patrice Talon.,"«Elle a caporalisé le PS et son plan va conduire à la Berezina, en utilisant de vieilles recettes» avance Marc-Philippe Daubresse.",y,y,y,v,y,cau,pat,na,y,y,v,y,pat,agt,na,n
caporalisation_2,caporalisation,ion,f,caporaliser_se_1,caporaliser,evt*sta,tsp,"Enfin, les initiatives des Gafam et de l’Union Européenne, relayées par les agences de financement de la recherche, favorisent une industrialisation des sciences de la culture et une caporalisation des sciences humaines et sociales que cachent mal les écritures de l’histoire des «humanités numériques».","Nation naguère très politique travaillée par la passion des idées, la France se caporalise depuis 3 ou 4 ans sous l’influence de groupuscules communautaristes qui patrouillent les réseaux sociaux",n,y,y,v,y,pat,na,na,y,y,v,y,pat,na,na,n
caquetage_1,caquetage,age,m,caqueter_1,caqueter,evt*phn,tsp,"Je m'abandonnais aux rumeurs de l'été: le frémissement des guêpes, le caquetage des pintades, l'appel angoissé des paons, le murmure des feuillages","Les poules caquettent joyeusement pour communiquer, et les coqs chantent au lever du soleil.",n,y,y,n,n,agt,na,na,y,y,n,n,agt,na,na,n
caquetage_2,caquetage,age,m,caqueter_2,caqueter,cog*evt,tsp,"Je lui ai coupé la parole, je n'étais absolument pas d'humeur à écouter son caquetage aussi vide qu'un bus de province à 1 heure du matin.","Ces êtres (ou ne pas être) sensibles, déclarés ainsi par la loi, n'ont pas caqueté un mot sur le sujet.",y,y,y,y,n,agt,res,na,y,y,y,n,agt,na,na,n
caquètement_1,caquètement,ment,m,caqueter_1,caqueter,evt*phn,tsp,"Or, les caquètements de poules sont considérés comme normaux.","Les poules caquettent joyeusement pour communiquer, et les coqs chantent au lever du soleil.",n,y,y,n,n,agt,na,na,y,y,n,n,agt,na,na,n
caquètement_2,caquètement,ment,m,caqueter_2,caqueter,cog*evt,tsp,C'est une discussion de princes que tu te permets d'interrompre avec tes caquètements stupides.,"Ces êtres (ou ne pas être) sensibles, déclarés ainsi par la loi, n'ont pas caqueté un mot sur le sujet.",y,y,y,y,n,agt,res,na,y,y,y,n,agt,na,na,n
caqueterie_1,caqueterie,erie,f,caqueter_1,caqueter,evt*phn,tsp,"Sur les herses de fer, les timons et les socs, un peuple de dindons, de poules & de coqs, perchaient, ameutant l’air de leurs caqueteries.","Les poules caquettent joyeusement pour communiquer, et les coqs chantent au lever du soleil.",n,y,y,n,n,agt,na,na,y,y,n,n,agt,na,na,n
caqueterie_2,caqueterie,erie,f,caqueter_2,caqueter,cog*evt,tsp,"Les caqueteries avaient repris de plus belle, l'accusant maintenant d'espérer l'aide de tout le monde pour être déchargée de son devoir.","Ces êtres (ou ne pas être) sensibles, déclarés ainsi par la loi, n'ont pas caqueté un mot sur le sujet.",y,y,y,y,n,agt,res,na,y,y,y,n,agt,na,na,n
caqueteur_1,caqueteur,eur.m,m,caqueter_2,caqueter,anm,agt,"Il accomplit ces choses non par les seules paroles, comme le font l’hypocrite et le caqueteur, mais par la pratique d’une soumission dans la foi et l’amour, à la puissance du Verbe.","Ces êtres (ou ne pas être) sensibles, déclarés ainsi par la loi, n'ont pas caqueté un mot sur le sujet.",y,y,y,y,n,agt,res,na,na,na,na,na,na,na,na,n
caqueteuse_1,caqueteuse,euse,f,caqueter_1,caqueter,anm,agt,"Enfin, les huiles essentielles qu’il contient apportent un soutien au métabolisme et au système digestif de votre petite caqueteuse qui a fort à faire avec la production de tous ces œufs!","Les poules caquettent joyeusement pour communiquer, et les coqs chantent au lever du soleil.",n,y,y,n,n,agt,na,na,na,na,na,na,na,na,na,n
caqueteuse_2,caqueteuse,euse,f,caqueter_2,caqueter,anm,agt,Je ne te dirai point maintenant qu'il n'y a rien de si fâcheux à ouïr qu'une caqueteuse qui se pique d'éloquence.,"Ces êtres (ou ne pas être) sensibles, déclarés ainsi par la loi, n'ont pas caqueté un mot sur le sujet.",y,y,y,y,n,agt,res,na,na,na,na,na,na,na,na,n
caqueteuse_3,caqueteuse,euse,f,caqueter_2,caqueter,art,loc,Dans le porche sont aménagés deux bancs formant une caqueteuse.,"Ces êtres (ou ne pas être) sensibles, déclarés ainsi par la loi, n'ont pas caqueté un mot sur le sujet.",y,y,y,y,n,agt,res,na,na,na,na,na,na,na,na,n
caquetoire_1,caquetoire,oire,f,caqueter_2,caqueter,art,loc,"Le surlendemain, à l’heure où tout le monde était aux champs, le mayeur fumait sa pipe à la porte, assis sur la caquetoire, ou, si vous l’aimez mieux, le banc aux caquets.","Ces êtres (ou ne pas être) sensibles, déclarés ainsi par la loi, n'ont pas caqueté un mot sur le sujet.",y,y,y,y,n,agt,res,na,na,na,na,na,na,na,na,n
caracolade_1,caracolade,ade,f,caracoler_1,caracoler,evt,tsp,"Et ils partirent de la façon la plus paisible, sans que le cheval songeât le moins du monde à se cabrer ni à faire la plus modeste caracolade.",Des chevaux caracolaient dans la boue.,n,y,y,n,n,agt,na,na,y,y,n,n,agt,na,na,n
caracolement_1,caracolement,ment,m,caracoler_1,caracoler,evt,tsp,"On rentre bien vite à la maison, dès que le Prince Impérial a disparu dans un tourbillon de poussière et le caracolement des chevaux.",Des chevaux caracolaient dans la boue.,n,y,y,n,n,agt,na,na,y,y,n,n,agt,na,na,n
cardage_1,cardage,age,m,carder_1,carder,evt,tsp,"Le cardage a pour but de nettoyer les filaments, de les isoler, d'en éliminer les matières étrangères et de paralléliser les fibres pour en former un ruban.","Après avoir cardé la laine pour la faire gonfler et lui donner son moelleux, les enfants garnissent leur coussin jusque dans les coins et enfin.",y,y,y,y,n,agt,pat,na,y,y,y,n,pat,agt,na,n
carderie_1,carderie,erie,f,carder_1,carder,art*ist,agt,Une ancienne carderie se cache dans ce qui était le moulin du bas de Pontaumur.,"Après avoir cardé la laine pour la faire gonfler et lui donner son moelleux, les enfants garnissent leur coussin jusque dans les coins et enfin.",y,y,y,y,n,agt,pat,na,na,na,na,na,na,na,na,n
cardeur_1,cardeur,eur.m,m,carder_1,carder,anm,agt,"Si les cardeurs s'employaient à préparer la laine pour le filage, les chanvreurs donnaient des soins similaires au chanvre.","Après avoir cardé la laine pour la faire gonfler et lui donner son moelleux, les enfants garnissent leur coussin jusque dans les coins et enfin.",y,y,y,y,n,agt,pat,na,na,na,na,na,na,na,na,n
cardeuse_1,cardeuse,euse,f,carder_1,carder,anm,agt,"Ma mère était cardeuse de matelas et, à cette époque-là, on défaisait la laine à la main.","Après avoir cardé la laine pour la faire gonfler et lui donner son moelleux, les enfants garnissent leur coussin jusque dans les coins et enfin.",y,y,y,y,n,agt,pat,na,na,na,na,na,na,na,na,n
cardeuse_2,cardeuse,euse,f,carder_1,carder,art,ins,Je souhaiterais me fabriquer une cardeuse à rouleaux.,"Après avoir cardé la laine pour la faire gonfler et lui donner son moelleux, les enfants garnissent leur coussin jusque dans les coins et enfin.",y,y,y,y,n,agt,pat,na,na,na,na,na,na,na,na,n
carottage_1,carottage,age,m,carotter_1,carotter,evt,tsp,"Remarquez que je ne parle pas ici de ces gredins honteux qui se croient naïvement honnêtes, et dont l’existence n’est qu’un long carottage organisé aux dépens de leurs amis ou même de leurs simples connaissances.","Il voulait me carotter un canon, ce mufle-là!",y,y,n,y,n,agt,thm,ben,y,n,y,n,thm,ben,agt,n
carottage_2,carottage,age,m,carotter_2,carotter,evt,tsp,"Après 28 jours de mûrissement, le carottage a eu lieu dans le sens horizontal, perpendiculairement à la grande face du bloc.","A côté de cette belle réalisation, nous avons également carotté la glace dans la grotte des Pingouins.",y,y,y,y,n,agt,pat,na,y,y,y,n,pat,agt,na,n
carottage_3,carottage,age,m,carotter_2,carotter,nat,res,"Marion Jeambrun présente l'équipement du préleveur: une cisaille pour couper l'herbe, un gabarit en bois de 20x20 d'où sera extrait le carottage de 10 cm de terre à l'aide d'un plantoir de jardin, et le compteur Geiger pour mesurer la radioactivité.","A côté de cette belle réalisation, nous avons également carotté la glace dans la grotte des Pingouins.",y,y,y,y,n,agt,pat,na,na,na,na,na,na,na,na,n
carotteur_1,carotteur,eur.m,m,carotter_1,carotter,anm,agt,"Les carotteurs marseillais arrivent à vendre de la terre, des carambars ou des Kit Kat au lieu du cannabis.","Il voulait me carotter un canon, ce mufle-là!",y,y,n,y,n,agt,thm,ben,na,na,na,na,na,na,na,n
carotteur_2,carotteur,eur.m,m,carotter_2,carotter,anm,agt,Notre client recherche un scieur et carotteur de béton afin de compléter ses effectifs,"A côté de cette belle réalisation, nous avons également carotté la glace dans la grotte des Pingouins.",y,y,y,y,n,agt,pat,na,na,na,na,na,na,na,na,n
carotteur_3,carotteur,eur.m,m,carotter_2,carotter,art,ins,Le carotteur de jardin permet d'aérer et d'enrichir la pelouse ou les sols sous les arbres ou arbustes en prélevant des extraits de sol.,"A côté de cette belle réalisation, nous avons également carotté la glace dans la grotte des Pingouins.",y,y,y,y,n,agt,pat,na,na,na,na,na,na,na,na,n
carotteuse_1,carotteuse,euse,f,carotter_2,carotter,art,ins,Une carotteuse s'utilise pour percer des trous de gros diamètre dans le béton et la roche avec une cloche diamantée.,"A côté de cette belle réalisation, nous avons également carotté la glace dans la grotte des Pingouins.",y,y,y,y,n,agt,pat,na,na,na,na,na,na,na,na,n
carottier_1,carottier,ier,m,carotter_1,carotter,anm,agt,"Tu n'as pas honte, gros cornichon, de payer les soucoupes de ces deux carottiers quand ce serait justement à eux de payer les nôtres?","Il voulait me carotter un canon, ce mufle-là!",y,y,n,y,n,agt,thm,ben,na,na,na,na,na,na,na,n
carottier_2,carottier,ier,m,carotter_2,carotter,art,ins,"Ce projet est novateur car l'idée est de fabriquer un carottier le plus petit possible, d'un diamètre de seulement 2 cm","A côté de cette belle réalisation, nous avons également carotté la glace dans la grotte des Pingouins.",y,y,y,y,n,agt,pat,na,na,na,na,na,na,na,na,n
carrossage_1,carrossage,age,m,carrosser_1,carrosser,evt,tsp,Le Fournisseur procède au carrossage ou à la pose des équipements dans le strict respect des délais,"L’usine Bugatti n’ayant pas le temps, dit-on, de carrosser la voiture pour le salon de Londres, James Young fut chargé de réaliser cette élégante et unique carrosserie qu’elle possède toujours aujourd’hui.",y,y,y,y,n,agt,pat,na,y,y,y,n,pat,agt,na,n
carrosserie_1,carrosserie,erie,f,carrosser_1,carrosser,dom,tsp,Sachez que vous aurez plus de chances de vous faire embaucher dans un petit atelier si vous êtes polyvalent et possédez également une formation en carrosserie.,"L’usine Bugatti n’ayant pas le temps, dit-on, de carrosser la voiture pour le salon de Londres, James Young fut chargé de réaliser cette élégante et unique carrosserie qu’elle possède toujours aujourd’hui.",y,y,y,y,n,agt,pat,na,y,y,n,n,na,na,na,n
carrosserie_2,carrosserie,erie,f,carrosser_1,carrosser,art*ist,agt,"Benjamin Grillon (photo) et ses deux associés ont ouvert une carrosserie début décembre, juste derrière le garage Crazy Cars.","L’usine Bugatti n’ayant pas le temps, dit-on, de carrosser la voiture pour le salon de Londres, James Young fut chargé de réaliser cette élégante et unique carrosserie qu’elle possède toujours aujourd’hui.",y,y,y,y,n,agt,pat,na,na,na,na,na,na,na,na,n
carrosserie_3,carrosserie,erie,f,carrosser_1,carrosser,art,res,"Pour éviter que le sel de déneigement n'abîme la carrosserie, il est recommandé de laver sa voiture une fois par mois en hiver.","L’usine Bugatti n’ayant pas le temps, dit-on, de carrosser la voiture pour le salon de Londres, James Young fut chargé de réaliser cette élégante et unique carrosserie qu’elle possède toujours aujourd’hui.",y,y,y,y,n,agt,pat,na,na,na,na,na,na,na,na,n
carrossier_1,carrossier,ier,m,carrosser_1,carrosser,anm,agt,Portrait de Frédéric Servant – mécanicien de formation devenu carrossier à son compte.,"L’usine Bugatti n’ayant pas le temps, dit-on, de carrosser la voiture pour le salon de Londres, James Young fut chargé de réaliser cette élégante et unique carrosserie qu’elle possède toujours aujourd’hui.",y,y,y,y,n,agt,pat,na,na,na,na,na,na,na,na,n
carrossière_1,carrossière,ière,f,carrosser_1,carrosser,anm,agt,Combien gagne une carrossière ou un carrossier?,"L’usine Bugatti n’ayant pas le temps, dit-on, de carrosser la voiture pour le salon de Londres, James Young fut chargé de réaliser cette élégante et unique carrosserie qu’elle possède toujours aujourd’hui.",y,y,y,y,n,agt,pat,na,na,na,na,na,na,na,na,n
casquage_1,casquage,age,m,casquer_1,casquer,evt,tsp,"Retour vers le véhicule, démarrage, casquage et gantage...","Claudius Popelin, confondant l'aïeul et le petit-fils, a casqué le poète d'un cimier de conquistador.",y,y,n,y,y,agt,ben,na,y,y,y,n,ben,agt,na,n
casquage_2,casquage,age,m,casquer_2,casquer,evt,tsp,"Je dis bonsoir, et tout ça... elle me demande si j'ai une réduction, toute fière je sors ma carte, ""ah non elle marche pas ici celle là.."" Donc là gros dilemme: est -ce que je rentre chez moi avec mon pelage ou est ce que je reste et je casque? j'opte pour le casquage.",Melanie Griffith a dû casquer pour rembourser les retards de production qu'elle a causés sur le tournage de «Working Girl».,n,y,n,y,n,agt,na,na,y,n,y,n,agt,na,na,n
casquette_1,casquette,ette,f,casquer_1,casquer,art,ins,Mais un grand escogriffe en smoking et coiffé d’une casquette à carreaux sortait de la limousine et accourait vers les trois femmes qui l’accueillirent fraîchement.,"Claudius Popelin, confondant l'aïeul et le petit-fils, a casqué le poète d'un cimier de conquistador.",y,y,n,y,y,agt,ben,na,na,na,na,na,na,na,na,n
casquette_2,casquette,ette,f,casquer_1,casquer,cog,ins-fig,Sinon je butine sur d'autres sites pour rester en veille sur le SEO / SEM / SMO puisqu'il s'agit de mon autre casquette de chef de projet.,"Claudius Popelin, confondant l'aïeul et le petit-fils, a casqué le poète d'un cimier de conquistador.",y,y,n,y,y,agt,ben,na,na,na,na,na,na,na,na,n
cassage_1,cassage,age,m,casser_1,casser,evt,tsp,Lavez-vous les mains avant et après le cassage des œufs frais.,Le plombier a cassé le miroir.,y,y,n,y,n,cau,pat,na,y,n,y,n,pat,agt,na,n
cassage_2,cassage,age,m,casser_(se)_1,casser,evt,tsp,Le tirage de poivres à la main d'habitude cause le cassage de la branche.,Pourquoi ne pas attendre que la branche casse?,n,y,n,y,n,pat,na,na,y,n,y,n,pat,na,na,n
cassage_3,cassage,age,m,casser_2,casser,evt,tsp,Tout ceci a été en premier lieu rendu possible par le cassage du code secret des radios nippones au mois de mai,Ces 5 options sont à essayer absolument pour casser le mot de passe administrateur dans Windows 10/11.,y,y,n,y,n,agt,tpc,na,y,n,y,n,tpc,agt,na,n
cassage_4,cassage,age,m,casser_4,casser,evt,tsp,"Nuit agitee, sorties boites potes, alcool, clopes, cassage avec mon mec, tout ca jusqu'a 8h du mat et j'ai pas fait mon millefeuille!!!",Je pleure parce que je viens de casser avec mon mec.,n,y,n,y,n,agt,na,ben,y,n,y,n,ben,agt,na,n
casse_1,casse,conv_0,m,casser_3,casser,evt,tsp,"Le casse du siècle a eu lieu ce jeudi à Paris, avenue Montaigne. Plus de 80 millions d'euros de bijoux ont été dérobés.","Sous sa houlette, ils montent un spectacle de magie aux frontières du banditisme: comment casser une banque parisienne depuis une scène de Las Vegas…",y,y,y,y,n,agt,ben,na,y,y,y,n,ben,agt,na,n
casse_1,casse,conv_0,f,casser_1,casser,evt,tsp,Il est essentiel de suivre certains principes pour que la casse du mur porteur soit réalisée en toute sécurité.,Le plombier a cassé le miroir.,y,y,n,y,n,cau,pat,na,y,n,y,n,pat,agt,na,n
casse_2,casse,conv_0,f,casser_1,casser,art*ist,agt,Fin d'année difficile pour les deux frères qui sont à la tête de la casse Carambolage 59 à Lourches.,Le plombier a cassé le miroir.,y,y,n,y,n,cau,pat,na,na,na,na,na,na,na,na,n
casse_3,casse,conv_0,f,casser_1,casser,nat,res,"Avant de préparer 3 nouveaux verres, la serveuse doit ramasser la casse et nettoyer le sol!",Le plombier a cassé le miroir.,y,y,n,y,n,cau,pat,na,na,na,na,na,na,na,na,n
casse_4,casse,conv_0,f,casser_(se)_1,casser,evt,tsp,"Début juin, dans les premiers jours de l'horaire d'été de la CGN (Compagnie Générale de Navigation), une casse s'est produite sur l'une des deux roues de cette unité mise en service en 1907. Depuis, le navire est à l'arrêt.",Pourquoi ne pas attendre que la branche casse?,n,y,n,y,n,pat,na,na,y,n,y,n,pat,na,na,n
cassement_1,cassement,ment,m,casser_1,casser,evt,tsp,"Le cassement du carreau peut se faire par plusieurs manières différentes, selon votre équipement.",Le plombier a cassé le miroir.,y,y,n,y,n,cau,pat,na,y,n,y,n,pat,cau,na,n
cassement_2,cassement,ment,m,casser_(se)_1,casser,evt,tsp,Les caractéristiques de ces verres sont diverses. La plus importante est de prévenir le cassement du verre en cas de chute,Pourquoi ne pas attendre que la branche casse?,n,y,n,y,n,pat,na,na,y,n,y,n,pat,na,na,n
casseur_1,casseur,eur.m,m,casser_1,casser,anm,agt,"Nouvelle nuit agitée à Oupeye: des casseurs ont tenté ""d'attirer la police dans des guets-apens"".",Le plombier a cassé le miroir.,y,y,n,y,n,cau,pat,na,na,na,na,na,na,na,na,n
casseur_2,casseur,eur.m,m,casser_3,casser,anm,agt,"Maddox va tuer Sutton et laissera des billets de banque qui sont numérotés, pour faire croire que celui-ci est le casseur de la banque.","Sous sa houlette, ils montent un spectacle de magie aux frontières du banditisme: comment casser une banque parisienne depuis une scène de Las Vegas…",y,y,y,y,n,agt,ben,na,na,na,na,na,ben,na,na,n
casseuse_1,casseuse,euse,f,casser_1,casser,anm,agt,"Et certes, je n’en disconviens pas, même s’il n’est pas exclu que parmi les 200 casseurs se soient glissées quelques casseuses pionnières. Mais s’est-on jamais demandé pourquoi? Autrement dit, sait-on si ce n’est pas l’usage du masculin qui dissuade les femmes de s’engager dans de brillantes carrières criminelles?",Le plombier a cassé le miroir.,y,y,n,y,n,cau,pat,na,na,na,na,na,na,na,na,n
casseuse_2,casseuse,euse,f,casser_3,casser,anm,agt,Signes particuliers: laisse toujours la porte de sa salle de bain ouverte et se serai bien vu casseuse de banque.,"Sous sa houlette, ils montent un spectacle de magie aux frontières du banditisme: comment casser une banque parisienne depuis une scène de Las Vegas…",y,y,y,y,n,agt,ben,na,na,na,na,na,ben,na,na,n
cassis_1,cassis,is,m,casser_1,casser,art,res,"Nous embarquons dans la Ford qui s’en va, déhanchée, à travers les sillons de la route. Les «cassis» ont ici un pied de profondeur, et les ornières pétrifiées absorbent les pneus jusqu’aux jantes.",Le plombier a cassé le miroir.,y,y,n,y,n,cau,pat,na,na,na,na,na,na,na,na,n
casson_1,casson,on,m,casser_1,casser,art,res,Les cassons de tuiles pourront être laissés regroupés en tas sur le terrain côté sud,Le plombier a cassé le miroir.,y,y,n,y,n,cau,pat,na,na,na,na,na,na,na,na,n
cassure_1,cassure,ure,f,casser_1,casser,nat,res,Il s'agit d'une cassure nette sur une conduite en fonte de diamètre 60 mm.,Le plombier a cassé le miroir.,y,y,n,y,n,cau,pat,na,na,na,na,na,na,na,na,n
cassure_2,cassure,ure,f,casser_(se)_1,casser,evt,tsp,"La cassure a eu lieu au niveau d'un autre trou, dont on voit la trace; il persiste en effet une partie de son bord au niveau de la brisure même du disque.",Pourquoi ne pas attendre que la branche casse?,n,y,n,y,n,pat,na,na,y,n,y,n,pat,na,na,n
castrage_1,castrage,age,m,castrer_1,castrer,evt,tsp,En effet le prix est moins élevé que dans une animalerie ou chez un éléveur et vous avez la stérilisation ou la castrage ainsi que le tatouage généralement inclu dans le prix.,J'ai fait castrer mon chat mercredi car depuis 15 jours il faisait pipi partout dans mon appartement.,y,y,y,y,n,cau,pat,na,y,y,y,n,pat,agt,na,n
castrat_1,castrat,conv_13,m,castrer_1,castrer,anm,res,Les Turcs font garder leurs femmes par des castrats.,J'ai fait castrer mon chat mercredi car depuis 15 jours il faisait pipi partout dans mon appartement.,y,y,y,y,n,cau,pat,na,na,na,na,na,na,na,na,n
castration_1,castration,ion,f,castrer_1,castrer,evt,tsp,La personnalité des hommes qui ont subi la castration s'altère de façon plus ou moins marquée.,J'ai fait castrer mon chat mercredi car depuis 15 jours il faisait pipi partout dans mon appartement.,y,y,y,y,n,cau,pat,na,y,y,y,n,pat,agt,na,n
castration_2,castration,ion,f,castrer_2,castrer,evt*sta,tsp,La peur de la castration par le père rival devient bienvenue en ce qu'elle montre un autre chemin que celui de l'agonie impuissante.,Et la mère castre les petits garçon par essence mais aussi les pères parce qu'elle prend tout l'espace dans l'éducation.,y,y,y,v,y,sti,exp,na,y,y,v,y,exp,sti,na,n
causation_1,causation,ion,f,causer_1,causer,evt,tsp,"Dans l'akrasia en effet, une autre raison interfère dans la causation rationnelle de l'action, raison qui est une cause non rationnelle (la passion, comme motif d'agir à l'encontre de ce qui est raisonnable)",La propagation du mélanome à ses poumons et son cerveau a causé sa mort.,y,y,n,y,n,cau,res,na,y,n,y,n,res,cau,na,n
causerie_1,causerie,erie,f,causer_2,causer,cog*evt,tsp,"La plus récente causerie de Wambery portait sur l’existence d’un tyran walachien, le Voïvode Drakula (ou Vlad Drakul), réputé buveur de sang humain.","Le soupirant attitré mais platonique de madame, causait tout bas avec elle dans un coin.",n,y,y,n,n,agt,na,na,y,y,n,n,agt,na,na,n
causerie_2,causerie,erie,f,causer_2,causer,ppt,cau,"D’une beauté qui fascina, d’une grande causerie, aimant les Arts, façonnant une autre manière d’aborder la majesté, mais très consciente de son devoir, Eugénie a laissé des traces dans l’Histoire de France même si après la chute de l’Empire, on a eu tendance à la cantonner à un rôle d’intrigante ou de folle dépensière pour ses tenues.","Le soupirant attitré mais platonique de madame, causait tout bas avec elle dans un coin.",n,y,y,n,n,agt,na,na,n,na,na,na,pvt,na,na,n
causette_1,causette,ette,f,causer_2,causer,evt,tsp,"Les deux veuves montaient ensemble après le dîner dans la chambre de Madame Vauquer, et y faisaient de petites causettes en buvant du cassis et mangeant des friandises...","Le soupirant attitré mais platonique de madame, causait tout bas avec elle dans un coin.",n,y,y,n,n,agt,na,na,y,y,n,n,agt,na,na,n
causeur_1,causeur,eur.m,m,causer_1,causer,anm,agt,"Ces automates servent à la fois de mise en garde pour les voleurs et les causeurs de problèmes potentiels, et d'inspiration pour les suivants de Brigh.",La propagation du mélanome à ses poumons et son cerveau a causé sa mort.,y,y,n,y,n,cau,res,na,na,na,na,na,res,na,na,n
causeur_2,causeur,eur.m,m,causer_2,causer,anm,agt,"De là ces années d'entre-deux-guerres où Prévert, l'intarissable causeur, l'artiste libre et inclassable, l'homme de théâtre (de rue, avec le groupe Octobre), de cinéma (avec Renoir, Carné et Pierre Prévert, son frère, notamment) et de chanson (sa collaboration avec Kosma débute en 1935), ne cessa d'écrire sans se préoccuper très sérieusement, dit -on, de la conservation et du rassemblement de ses textes.","Le soupirant attitré mais platonique de madame, causait tout bas avec elle dans un coin.",n,y,y,n,n,agt,na,na,na,na,na,na,na,na,na,n
causeuse_1,causeuse,euse,f,causer_1,causer,anm,agt,Et après tu dis que tu n'es pas une causeuse de problèmes?,La propagation du mélanome à ses poumons et son cerveau a causé sa mort.,y,y,n,y,n,cau,res,na,na,na,na,na,res,na,na,n
causeuse_2,causeuse,euse,f,causer_2,causer,anm,agt,"Elle a la réputation de ne pas être une grande causeuse, héritée de ces années où la patronne d'alors monopolisait le crachoir.","Le soupirant attitré mais platonique de madame, causait tout bas avec elle dans un coin.",n,y,y,n,n,agt,na,na,na,na,na,na,na,na,na,n
causeuse_3,causeuse,euse,f,causer_2,causer,art,loc,"Assise sur une causeuse à l'autre coin de la cheminée, en face de son mari, la mère était entourée de vêtements épars ….","Le soupirant attitré mais platonique de madame, causait tout bas avec elle dans un coin.",n,y,y,n,n,agt,na,na,na,na,na,na,na,na,na,n
cavale_1,cavale,conv_0,f,cavaler_1,cavaler,evt,tsp,Il s’est fait pincer après trois mois de cavale.,Les nuages cavalent dans un ciel incertain,n,y,y,n,n,thm,na,na,y,y,n,n,thm,na,na,n
cavaleur_1,cavaleur,eur.m,m,cavaler_1,cavaler,anm,agt,"Un ""cavaleur"" était une personne chargée de conduire les chevaux dans les champs pour labourer les terres agricoles.",Les nuages cavalent dans un ciel incertain,n,y,y,n,n,thm,na,na,na,na,na,na,na,na,na,n
cavaleur_2,cavaleur,eur.m,m,cavaler_2,cavaler,anm,agt,"Son bonhomme était un cavaleur de première: main au cul, haleine fraîche, oeil de velours...",Les hommes cavalent après une jupe et des yeux pâles.,n,y,y,n,n,agt,na,tpc,na,na,na,na,na,na,na,n
cavaleuse_1,cavaleuse,euse,f,cavaler_1,cavaler,anm,agt,"Nous étions 36 cavaleuses et cavaleurs sur la ligne de départ du marathon, dont 3 c'était leur 1er et une cavaleuse et 2 cavaleurs sur le semi.",Les nuages cavalent dans un ciel incertain,n,y,y,n,n,thm,na,na,na,na,na,na,na,na,na,n
cavaleuse_2,cavaleuse,euse,f,cavaler_2,cavaler,anm,agt,"Rassurez-vous, elle n’est pas hétéro; toutefois, elle a une compagne qui ne l’emballe pas mais à qui elle estime devoir rester fidèle, et Lee est une cavaleuse qui lève toutes les minettes à peine majeures qui passent à sa portée.",Les hommes cavalent après une jupe et des yeux pâles.,n,y,y,n,n,agt,na,tpc,na,na,na,na,na,na,na,n
ceinturage_1,ceinturage,age,m,ceinturer_1,ceinturer,evt,tsp,"L’occupation a commencé à se faire d’abord de manière sournoise, on y dépose des effets personnels, des meubles usés, on y plante quelques arbustes, comme pour marquer le territoire, avant de passer au ceinturage du terrain, par la pose d’un grillage et un portail en fer ou carrément une enceinte en dur pour les plus téméraires.","En 1909, un muret en pierre avec une grille en fer forgé est construit pour ceinturer le terrain de la synagogue et remplacer les palissades en bois.",y,y,y,y,n,agt,pat,na,y,y,y,n,pat,agt,na,n
ceinturage_2,ceinturage,age,m,ceinturer_1,ceinturer,art,res,Les maçons réalisent enfin un ceinturage en béton armé et une partie de mur pignon qui recevra la structure en bois du futur étage.,"En 1909, un muret en pierre avec une grille en fer forgé est construit pour ceinturer le terrain de la synagogue et remplacer les palissades en bois.",y,y,y,y,n,agt,pat,na,na,na,na,na,na,na,na,n
